"","Name","DistanceAT","ortholog","Strain","TF","Length"
"29","EbroNfe1_000042-T1",9890,"og_4555","EbroNfe1","FALSE",436
"30","EbroNfe1_000043-T1",11870,"og_4557","EbroNfe1","FALSE",407
"31","EbroNfe1_000044-T1",10512,"og_29414","EbroNfe1","TRUE",143
"32","EbroNfe1_000045-T1",9352,"og_1816","EbroNfe1","FALSE",288
"33","EbroNfe1_000046-T1",3879,"og_7451","EbroNfe1","FALSE",1249
"34","EbroNfe1_000047-T1",2698,"og_5166","EbroNfe1","FALSE",106
"35","EbroNfe1_000048-T1",1464,"og_4530","EbroNfe1","FALSE",501
"36","EbroNfe1_000049-T1",4363,"og_7659","EbroNfe1","FALSE",853
"37","EbroNfe1_000050-T1",998,"og_3949","EbroNfe1","FALSE",482
"38","EbroNfe1_000051-T1",931,"og_4756","EbroNfe1","FALSE",476
"39","EbroNfe1_000052-T1",4300,"og_2881","EbroNfe1","FALSE",381
"40","EbroNfe1_000053-T1",839,"og_5014","EbroNfe1","FALSE",283
"41","EbroNfe1_000054-T1",6225,"og_4666","EbroNfe1","FALSE",454
"42","EbroNfe1_000055-T1",436,"og_29415","EbroNfe1","TRUE",393
"43","EbroNfe1_000056-T1",3140,"og_7573","EbroNfe1","FALSE",307
"44","EbroNfe1_000057-T1",1567,"og_7572","EbroNfe1","FALSE",380
"45","EbroNfe1_000058-T1",316,"og_5241","EbroNfe1","FALSE",864
"46","EbroNfe1_000059-T1",453,"og_1354","EbroNfe1","FALSE",392
"47","EbroNfe1_000060-T1",1576,"og_5278","EbroNfe1","FALSE",150
"48","EbroNfe1_000061-T1",1272,"og_7446","EbroNfe1","FALSE",190
"49","EbroNfe1_000062-T1",1166,"og_1974","EbroNfe1","FALSE",206
"50","EbroNfe1_000063-T1",1956,"og_1979","EbroNfe1","FALSE",372
"51","EbroNfe1_000064-T1",4178,"og_1387","EbroNfe1","FALSE",237
"52","EbroNfe1_000065-T1",2746,"og_4570","EbroNfe1","FALSE",275
"53","EbroNfe1_000066-T1",2726,"og_1023","EbroNfe1","FALSE",365
"54","EbroNfe1_000067-T1",516,"og_0143","EbroNfe1","FALSE",176
"55","EbroNfe1_000068-T1",473,"og_29416","EbroNfe1","TRUE",220
"56","EbroNfe1_000069-T1",0,"og_1155","EbroNfe1","FALSE",263
"57","EbroNfe1_000070-T1",2231,"og_11728","EbroNfe1","FALSE",398
"58","EbroNfe1_000071-T1",30,"og_5279","EbroNfe1","FALSE",322
"59","EbroNfe1_000072-T1",6099,"og_9572","EbroNfe1","FALSE",286
"60","EbroNfe1_000073-T1",7465,"og_4202","EbroNfe1","FALSE",384
"61","EbroNfe1_000074-T1",536,"og_1094","EbroNfe1","FALSE",392
"62","EbroNfe1_000075-T1",9404,"og_10827","EbroNfe1","FALSE",264
"63","EbroNfe1_000076-T1",10913,"og_10127","EbroNfe1","FALSE",406
"64","EbroNfe1_000077-T1",15705,"og_0331","EbroNfe1","FALSE",413
"65","EbroNfe1_000078-T1",1154,"og_7571","EbroNfe1","FALSE",288
"66","EbroNfe1_000079-T1",2193,"og_4476","EbroNfe1","FALSE",344
"67","EbroNfe1_000080-T1",20030,"og_0837","EbroNfe1","FALSE",151
"68","EbroNfe1_000081-T1",3769,"og_0887","EbroNfe1","FALSE",569
"69","EbroNfe1_000082-T1",22265,"og_2181","EbroNfe1","FALSE",290
"70","EbroNfe1_000083-T1",1962,"og_7567","EbroNfe1","FALSE",1352
"71","EbroNfe1_000084-T1",20631,"og_8698","EbroNfe1","FALSE",165
"72","EbroNfe1_000085-T1",19133,"og_9091","EbroNfe1","FALSE",327
"73","EbroNfe1_000086-T1",17969,"og_8362","EbroNfe1","FALSE",146
"74","EbroNfe1_000087-T1",178,"og_9779","EbroNfe1","FALSE",344
"75","EbroNfe1_000088-T1",12656,"og_1050","EbroNfe1","FALSE",1002
"76","EbroNfe1_000089-T1",11596,"og_2231","EbroNfe1","FALSE",136
"77","EbroNfe1_000090-T1",9618,"og_7988","EbroNfe1","FALSE",467
"78","EbroNfe1_000091-T1",8350,"og_11237","EbroNfe1","FALSE",318
"79","EbroNfe1_000092-T1",6592,"og_3793","EbroNfe1","FALSE",446
"80","EbroNfe1_000093-T1",287,"og_2030","EbroNfe1","FALSE",200
"81","EbroNfe1_000094-T1",3777,"og_3710","EbroNfe1","FALSE",210
"82","EbroNfe1_000095-T1",1693,"og_4629","EbroNfe1","FALSE",503
"83","EbroNfe1_000096-T1",408,"og_8714","EbroNfe1","FALSE",617
"84","EbroNfe1_000097-T1",2418,"og_29417","EbroNfe1","TRUE",149
"85","EbroNfe1_000098-T1",5083,"og_4760","EbroNfe1","FALSE",989
"86","EbroNfe1_000099-T1",4072,"og_1806","EbroNfe1","FALSE",684
"87","EbroNfe1_000100-T1",6600,"og_3217","EbroNfe1","FALSE",498
"88","EbroNfe1_000101-T1",10675,"og_2274","EbroNfe1","FALSE",313
"89","EbroNfe1_000102-T1",13552,"og_2315","EbroNfe1","FALSE",635
"90","EbroNfe1_000103-T1",13669,"og_2262","EbroNfe1","FALSE",468
"91","EbroNfe1_000104-T1",1499,"og_1627","EbroNfe1","FALSE",334
"92","EbroNfe1_000105-T1",11580,"og_11487","EbroNfe1","FALSE",569
"93","EbroNfe1_000106-T1",1083,"og_29418","EbroNfe1","TRUE",996
"94","EbroNfe1_000107-T1",18300,"og_9654","EbroNfe1","FALSE",484
"95","EbroNfe1_000108-T1",5119,"og_11600","EbroNfe1","FALSE",340
"96","EbroNfe1_000109-T1",20494,"og_9297","EbroNfe1","FALSE",280
"97","EbroNfe1_000110-T1",8086,"og_11657","EbroNfe1","FALSE",638
"98","EbroNfe1_000111-T1",20324,"og_9313","EbroNfe1","FALSE",603
"99","EbroNfe1_000112-T1",6783,"og_0544","EbroNfe1","FALSE",495
"100","EbroNfe1_000113-T1",3597,"og_29419","EbroNfe1","TRUE",259
"101","EbroNfe1_000114-T1",2981,"og_29420","EbroNfe1","TRUE",138
"102","EbroNfe1_000115-T1",18053,"og_9407","EbroNfe1","FALSE",472
"103","EbroNfe1_000116-T1",9067,"og_11605","EbroNfe1","FALSE",383
"104","EbroNfe1_000117-T1",3614,"og_1033","EbroNfe1","FALSE",802
"105","EbroNfe1_000118-T1",1427,"og_9827","EbroNfe1","FALSE",147
"106","EbroNfe1_000119-T1",10296,"og_10362","EbroNfe1","FALSE",589
"107","EbroNfe1_000120-T1",1551,"og_2781","EbroNfe1","FALSE",519
"108","EbroNfe1_000121-T1",15057,"og_11642","EbroNfe1","FALSE",425
"109","EbroNfe1_000122-T1",13006,"og_7975","EbroNfe1","FALSE",227
"110","EbroNfe1_000123-T1",12519,"og_2864","EbroNfe1","FALSE",600
"111","EbroNfe1_000124-T1",71,"og_1569","EbroNfe1","FALSE",273
"112","EbroNfe1_000126-T1",13894,"og_9880","EbroNfe1","FALSE",503
"113","EbroNfe1_000127-T1",11842,"og_9689","EbroNfe1","FALSE",465
"114","EbroNfe1_000128-T1",185,"og_0944","EbroNfe1","FALSE",273
"115","EbroNfe1_000129-T1",2457,"og_0545","EbroNfe1","FALSE",560
"116","EbroNfe1_000130-T1",10516,"og_1176","EbroNfe1","FALSE",182
"117","EbroNfe1_000131-T1",1068,"og_3753","EbroNfe1","FALSE",185
"118","EbroNfe1_000132-T1",4676,"og_0512","EbroNfe1","FALSE",415
"119","EbroNfe1_000133-T1",6857,"og_8371","EbroNfe1","FALSE",755
"120","EbroNfe1_000134-T1",6113,"og_0128","EbroNfe1","FALSE",260
"121","EbroNfe1_000135-T1",4046,"og_0786","EbroNfe1","FALSE",355
"122","EbroNfe1_000136-T1",2741,"og_2217","EbroNfe1","FALSE",1201
"123","EbroNfe1_000137-T1",3581,"og_2224","EbroNfe1","FALSE",370
"124","EbroNfe1_000138-T1",3307,"og_1779","EbroNfe1","FALSE",205
"125","EbroNfe1_000139-T1",2531,"og_2630","EbroNfe1","FALSE",113
"126","EbroNfe1_000140-T1",3559,"og_8464","EbroNfe1","FALSE",487
"127","EbroNfe1_000141-T1",867,"og_0273","EbroNfe1","FALSE",372
"128","EbroNfe1_000142-T1",564,"og_0661","EbroNfe1","FALSE",422
"129","EbroNfe1_000143-T1",1331,"og_9220","EbroNfe1","FALSE",476
"130","EbroNfe1_000144-T1",1482,"og_3160","EbroNfe1","FALSE",197
"131","EbroNfe1_000145-T1",1115,"og_10072","EbroNfe1","FALSE",655
"132","EbroNfe1_000146-T1",541,"og_7828","EbroNfe1","FALSE",215
"133","EbroNfe1_000147-T1",738,"og_1791","EbroNfe1","FALSE",368
"134","EbroNfe1_000148-T1",2818,"og_29421","EbroNfe1","TRUE",78
"135","EbroNfe1_000149-T1",3815,"og_1778","EbroNfe1","FALSE",614
"136","EbroNfe1_000150-T1",4981,"og_2209","EbroNfe1","FALSE",738
"137","EbroNfe1_000151-T1",4086,"og_1438","EbroNfe1","FALSE",281
"138","EbroNfe1_000152-T1",6474,"og_29422","EbroNfe1","TRUE",353
"139","EbroNfe1_000153-T1",2994,"og_1681","EbroNfe1","FALSE",941
"140","EbroNfe1_000154-T1",5162,"og_2243","EbroNfe1","FALSE",494
"141","EbroNfe1_000155-T1",9097,"og_2588","EbroNfe1","FALSE",465
"142","EbroNfe1_000156-T1",2900,"og_11076","EbroNfe1","FALSE",434
"143","EbroNfe1_000157-T1",947,"og_8839","EbroNfe1","FALSE",1682
"144","EbroNfe1_000158-T1",1119,"og_5245","EbroNfe1","FALSE",282
"145","EbroNfe1_000159-T1",918,"og_29423","EbroNfe1","TRUE",106
"146","EbroNfe1_000160-T1",717,"og_1814","EbroNfe1","FALSE",180
"147","EbroNfe1_000161-T1",885,"og_9467","EbroNfe1","FALSE",337
"148","EbroNfe1_000162-T1",15022,"og_9119","EbroNfe1","FALSE",796
"149","EbroNfe1_000163-T1",5916,"og_3752","EbroNfe1","FALSE",400
"150","EbroNfe1_000164-T1",4074,"og_2073","EbroNfe1","FALSE",315
"151","EbroNfe1_000165-T1",12175,"og_1804","EbroNfe1","FALSE",494
"152","EbroNfe1_000167-T1",9311,"og_7033","EbroNfe1","FALSE",394
"153","EbroNfe1_000168-T1",7156,"og_9810","EbroNfe1","FALSE",368
"154","EbroNfe1_000169-T1",535,"og_3401","EbroNfe1","FALSE",342
"155","EbroNfe1_000170-T1",4508,"og_8710","EbroNfe1","FALSE",654
"156","EbroNfe1_000171-T1",993,"og_3686","EbroNfe1","FALSE",622
"157","EbroNfe1_000172-T1",272,"og_1932","EbroNfe1","FALSE",595
"158","EbroNfe1_000173-T1",2890,"og_1960","EbroNfe1","FALSE",834
"159","EbroNfe1_000174-T1",339,"og_1483","EbroNfe1","FALSE",88
"160","EbroNfe1_000175-T1",909,"og_8529","EbroNfe1","FALSE",670
"161","EbroNfe1_000176-T1",1272,"og_3803","EbroNfe1","FALSE",1591
"162","EbroNfe1_000177-T1",3051,"og_2320","EbroNfe1","FALSE",229
"163","EbroNfe1_000178-T1",1694,"og_10691","EbroNfe1","FALSE",102
"164","EbroNfe1_000179-T1",4490,"og_2646","EbroNfe1","FALSE",1421
"165","EbroNfe1_000180-T1",6276,"og_1922","EbroNfe1","FALSE",209
"166","EbroNfe1_000181-T1",279,"og_9650","EbroNfe1","FALSE",307
"167","EbroNfe1_000182-T1",7879,"og_0442","EbroNfe1","FALSE",160
"168","EbroNfe1_000183-T1",1658,"og_2628","EbroNfe1","FALSE",279
"169","EbroNfe1_000184-T1",3668,"og_4010","EbroNfe1","FALSE",378
"170","EbroNfe1_000185-T1",11185,"og_0394","EbroNfe1","FALSE",493
"171","EbroNfe1_000186-T1",6755,"og_9026","EbroNfe1","FALSE",487
"172","EbroNfe1_000187-T1",6167,"og_8005","EbroNfe1","FALSE",618
"173","EbroNfe1_000188-T1",14031,"og_10103","EbroNfe1","FALSE",610
"174","EbroNfe1_000189-T1",4796,"og_2154","EbroNfe1","FALSE",204
"175","EbroNfe1_000190-T1",756,"og_9760","EbroNfe1","FALSE",1217
"176","EbroNfe1_000191-T1",18120,"og_2011","EbroNfe1","FALSE",619
"177","EbroNfe1_000192-T1",11362,"og_1084","EbroNfe1","FALSE",336
"178","EbroNfe1_000193-T1",20330,"og_3670","EbroNfe1","FALSE",253
"179","EbroNfe1_000194-T1",827,"og_1777","EbroNfe1","FALSE",98
"180","EbroNfe1_000195-T1",13725,"og_9444","EbroNfe1","FALSE",424
"181","EbroNfe1_000196-T1",18318,"og_8699","EbroNfe1","FALSE",432
"182","EbroNfe1_000197-T1",15300,"og_1210","EbroNfe1","FALSE",684
"183","EbroNfe1_000198-T1",2945,"og_5207","EbroNfe1","FALSE",374
"184","EbroNfe1_000199-T1",16810,"og_0393","EbroNfe1","FALSE",286
"185","EbroNfe1_000200-T1",11482,"og_1012","EbroNfe1","FALSE",1133
"186","EbroNfe1_000201-T1",18946,"og_2626","EbroNfe1","FALSE",742
"187","EbroNfe1_000202-T1",150,"og_5440","EbroNfe1","FALSE",183
"188","EbroNfe1_000203-T1",21898,"og_0315","EbroNfe1","FALSE",196
"189","EbroNfe1_000204-T1",22892,"og_2132","EbroNfe1","FALSE",720
"190","EbroNfe1_000205-T1",9374,"og_3967","EbroNfe1","FALSE",206
"191","EbroNfe1_000206-T1",25569,"og_8259","EbroNfe1","FALSE",459
"192","EbroNfe1_000207-T1",7354,"og_4301","EbroNfe1","FALSE",209
"193","EbroNfe1_000208-T1",27650,"og_9022","EbroNfe1","FALSE",398
"194","EbroNfe1_000209-T1",3332,"og_4361","EbroNfe1","FALSE",338
"195","EbroNfe1_000210-T1",1060,"og_10728","EbroNfe1","FALSE",902
"196","EbroNfe1_000211-T1",867,"og_1162","EbroNfe1","FALSE",390
"197","EbroNfe1_000212-T1",32251,"og_8119","EbroNfe1","FALSE",553
"198","EbroNfe1_000213-T1",5967,"og_0820","EbroNfe1","FALSE",133
"199","EbroNfe1_000214-T1",35251,"og_8099","EbroNfe1","FALSE",642
"200","EbroNfe1_000215-T1",6856,"og_9352","EbroNfe1","FALSE",2291
"201","EbroNfe1_000216-T1",39659,"og_7963","EbroNfe1","FALSE",844
"202","EbroNfe1_000217-T1",42996,"og_4812","EbroNfe1","FALSE",560
"203","EbroNfe1_000218-T1",16251,"og_11409","EbroNfe1","FALSE",591
"204","EbroNfe1_000219-T1",2531,"og_0102","EbroNfe1","FALSE",270
"205","EbroNfe1_000220-T1",45620,"og_2277","EbroNfe1","FALSE",186
"206","EbroNfe1_000221-T1",186,"og_2818","EbroNfe1","FALSE",296
"207","EbroNfe1_000222-T1",18141,"og_10039","EbroNfe1","FALSE",1627
"208","EbroNfe1_000223-T1",48353,"og_10918","EbroNfe1","FALSE",1520
"209","EbroNfe1_000224-T1",54423,"og_9563","EbroNfe1","FALSE",349
"210","EbroNfe1_000225-T1",13084,"og_2895","EbroNfe1","FALSE",1112
"211","EbroNfe1_000226-T1",52726,"og_3615","EbroNfe1","FALSE",1016
"212","EbroNfe1_000227-T1",10057,"og_2302","EbroNfe1","FALSE",564
"213","EbroNfe1_000228-T1",8389,"og_29424","EbroNfe1","TRUE",219
"214","EbroNfe1_000229-T1",49524,"og_0566","EbroNfe1","FALSE",387
"215","EbroNfe1_000230-T1",4763,"og_11573","EbroNfe1","FALSE",746
"216","EbroNfe1_000231-T1",2191,"og_8920","EbroNfe1","FALSE",266
"217","EbroNfe1_000232-T1",43046,"og_4094","EbroNfe1","FALSE",1061
"218","EbroNfe1_000233-T1",4618,"og_4125","EbroNfe1","FALSE",1085
"219","EbroNfe1_000234-T1",803,"og_7000","EbroNfe1","FALSE",120
"220","EbroNfe1_000235-T1",411,"og_2381","EbroNfe1","FALSE",336
"221","EbroNfe1_000236-T1",8955,"og_1330","EbroNfe1","FALSE",345
"222","EbroNfe1_000237-T1",38714,"og_9169","EbroNfe1","FALSE",887
"223","EbroNfe1_000238-T1",0,"og_29425","EbroNfe1","TRUE",245
"224","EbroNfe1_000239-T1",10583,"og_3848","EbroNfe1","FALSE",1107
"225","EbroNfe1_000240-T1",337,"og_2616","EbroNfe1","FALSE",116
"226","EbroNfe1_000241-T1",799,"og_1657","EbroNfe1","FALSE",787
"227","EbroNfe1_000242-T1",1237,"og_8021","EbroNfe1","FALSE",325
"228","EbroNfe1_000244-T1",34807,"og_2958","EbroNfe1","FALSE",302
"229","EbroNfe1_000245-T1",13353,"og_2226","EbroNfe1","FALSE",196
"230","EbroNfe1_000246-T1",33743,"og_2852","EbroNfe1","FALSE",254
"231","EbroNfe1_000247-T1",11464,"og_9430","EbroNfe1","FALSE",507
"232","EbroNfe1_000248-T1",31897,"og_4245","EbroNfe1","FALSE",333
"233","EbroNfe1_000249-T1",27793,"og_9989","EbroNfe1","FALSE",857
"234","EbroNfe1_000250-T1",8171,"og_3072","EbroNfe1","FALSE",222
"235","EbroNfe1_000251-T1",976,"og_11094","EbroNfe1","FALSE",190
"236","EbroNfe1_000253-T1",2440,"og_29426","EbroNfe1","TRUE",149
"237","EbroNfe1_000254-T1",6090,"og_7460","EbroNfe1","FALSE",283
"238","EbroNfe1_000255-T1",2124,"og_0781","EbroNfe1","FALSE",390
"239","EbroNfe1_000256-T1",596,"og_29427","EbroNfe1","TRUE",153
"240","EbroNfe1_000257-T1",4389,"og_0899","EbroNfe1","FALSE",293
"241","EbroNfe1_000258-T1",2775,"og_3679","EbroNfe1","FALSE",525
"242","EbroNfe1_000260-T1",3962,"og_10880","EbroNfe1","FALSE",568
"243","EbroNfe1_000261-T1",23508,"og_8114","EbroNfe1","FALSE",490
"244","EbroNfe1_000262-T1",4049,"og_11332","EbroNfe1","FALSE",138
"245","EbroNfe1_000263-T1",6351,"og_0158","EbroNfe1","FALSE",200
"246","EbroNfe1_000264-T1",1853,"og_2319","EbroNfe1","FALSE",434
"247","EbroNfe1_000265-T1",6928,"og_0023","EbroNfe1","FALSE",504
"248","EbroNfe1_000266-T1",20680,"og_11374","EbroNfe1","FALSE",750
"249","EbroNfe1_000267-T1",1436,"og_8543","EbroNfe1","FALSE",618
"250","EbroNfe1_000268-T1",1257,"og_29428","EbroNfe1","TRUE",84
"251","EbroNfe1_000269-T1",6559,"og_1584","EbroNfe1","FALSE",212
"252","EbroNfe1_000270-T1",119,"og_1742","EbroNfe1","FALSE",200
"253","EbroNfe1_000271-T1",5407,"og_10393","EbroNfe1","FALSE",396
"254","EbroNfe1_000272-T1",4412,"og_2164","EbroNfe1","FALSE",336
"255","EbroNfe1_000273-T1",18224,"og_2897","EbroNfe1","FALSE",532
"256","EbroNfe1_000274-T1",321,"og_29429","EbroNfe1","TRUE",187
"257","EbroNfe1_000275-T1",4354,"og_29430","EbroNfe1","TRUE",232
"258","EbroNfe1_000276-T1",1934,"og_8372","EbroNfe1","FALSE",510
"259","EbroNfe1_000277-T1",2663,"og_29431","EbroNfe1","TRUE",304
"260","EbroNfe1_000278-T1",1552,"og_0798","EbroNfe1","FALSE",185
"261","EbroNfe1_000279-T1",12736,"og_3085","EbroNfe1","FALSE",1238
"262","EbroNfe1_000280-T1",267,"og_9130","EbroNfe1","FALSE",333
"263","EbroNfe1_000281-T1",562,"og_0288","EbroNfe1","FALSE",172
"264","EbroNfe1_000282-T1",11069,"og_10764","EbroNfe1","FALSE",272
"265","EbroNfe1_000283-T1",9860,"og_4197","EbroNfe1","FALSE",146
"266","EbroNfe1_000284-T1",7916,"og_11217","EbroNfe1","FALSE",464
"267","EbroNfe1_000285-T1",6096,"og_8953","EbroNfe1","FALSE",406
"268","EbroNfe1_000286-T1",2230,"og_8321","EbroNfe1","FALSE",598
"269","EbroNfe1_000287-T1",743,"og_1188","EbroNfe1","FALSE",378
"270","EbroNfe1_000288-T1",256,"og_2388","EbroNfe1","FALSE",309
"271","EbroNfe1_000289-T1",1629,"og_11075","EbroNfe1","FALSE",1181
"272","EbroNfe1_000290-T1",364,"og_8490","EbroNfe1","FALSE",532
"273","EbroNfe1_000291-T1",390,"og_1067","EbroNfe1","FALSE",536
"274","EbroNfe1_000292-T1",236,"og_29432","EbroNfe1","TRUE",199
"275","EbroNfe1_000293-T1",3210,"og_2584","EbroNfe1","FALSE",796
"276","EbroNfe1_000294-T1",637,"og_1510","EbroNfe1","FALSE",232
"277","EbroNfe1_000295-T1",516,"og_2352","EbroNfe1","FALSE",410
"278","EbroNfe1_000296-T1",2406,"og_29433","EbroNfe1","TRUE",991
"279","EbroNfe1_000297-T1",6133,"og_0910","EbroNfe1","FALSE",649
"280","EbroNfe1_000298-T1",9468,"og_10122","EbroNfe1","FALSE",2086
"281","EbroNfe1_000299-T1",8585,"og_1411","EbroNfe1","FALSE",482
"282","EbroNfe1_000300-T1",6461,"og_4551","EbroNfe1","FALSE",123
"283","EbroNfe1_000301-T1",7401,"og_10951","EbroNfe1","FALSE",348
"284","EbroNfe1_000302-T1",11416,"og_1325","EbroNfe1","FALSE",559
"285","EbroNfe1_000303-T1",6714,"og_10846","EbroNfe1","FALSE",530
"286","EbroNfe1_000304-T1",267,"og_0239","EbroNfe1","FALSE",346
"287","EbroNfe1_000305-T1",1528,"og_2763","EbroNfe1","FALSE",155
"288","EbroNfe1_000306-T1",4825,"og_1173","EbroNfe1","FALSE",385
"289","EbroNfe1_000307-T1",17017,"og_2169","EbroNfe1","FALSE",314
"290","EbroNfe1_000308-T1",14668,"og_3429","EbroNfe1","FALSE",684
"291","EbroNfe1_000309-T1",634,"og_1319","EbroNfe1","FALSE",397
"292","EbroNfe1_000310-T1",18162,"og_4811","EbroNfe1","FALSE",173
"293","EbroNfe1_000311-T1",3428,"og_0470","EbroNfe1","FALSE",94
"294","EbroNfe1_000312-T1",2810,"og_2387","EbroNfe1","FALSE",459
"295","EbroNfe1_000313-T1",18972,"og_3028","EbroNfe1","FALSE",304
"296","EbroNfe1_000314-T1",4163,"og_9914","EbroNfe1","FALSE",607
"297","EbroNfe1_000315-T1",17482,"og_9925","EbroNfe1","FALSE",1168
"298","EbroNfe1_000316-T1",1715,"og_8825","EbroNfe1","FALSE",277
"299","EbroNfe1_000317-T1",20477,"og_7900","EbroNfe1","FALSE",541
"300","EbroNfe1_000318-T1",6250,"og_1386","EbroNfe1","FALSE",203
"301","EbroNfe1_000319-T1",749,"og_6660","EbroNfe1","FALSE",163
"302","EbroNfe1_000320-T1",7251,"og_10572","EbroNfe1","FALSE",273
"303","EbroNfe1_000321-T1",23128,"og_4001","EbroNfe1","FALSE",113
"304","EbroNfe1_000322-T1",8889,"og_1112","EbroNfe1","FALSE",474
"305","EbroNfe1_000323-T1",22173,"og_9935","EbroNfe1","FALSE",300
"306","EbroNfe1_000324-T1",10922,"og_3944","EbroNfe1","FALSE",442
"307","EbroNfe1_000325-T1",23734,"og_6051","EbroNfe1","FALSE",327
"308","EbroNfe1_000326-T1",25020,"og_8666","EbroNfe1","FALSE",634
"309","EbroNfe1_000327-T1",13155,"og_2851","EbroNfe1","FALSE",1518
"310","EbroNfe1_000328-T1",29463,"og_2621","EbroNfe1","FALSE",208
"311","EbroNfe1_000329-T1",28982,"og_3914","EbroNfe1","FALSE",230
"312","EbroNfe1_000330-T1",2790,"og_1032","EbroNfe1","FALSE",286
"313","EbroNfe1_000331-T1",3868,"og_11648","EbroNfe1","FALSE",269
"314","EbroNfe1_000332-T1",30676,"og_3086","EbroNfe1","FALSE",135
"315","EbroNfe1_000333-T1",5577,"og_11696","EbroNfe1","FALSE",454
"316","EbroNfe1_000334-T1",32828,"og_11424","EbroNfe1","FALSE",641
"317","EbroNfe1_000335-T1",20604,"og_7846","EbroNfe1","FALSE",352
"318","EbroNfe1_000336-T1",7893,"og_0236","EbroNfe1","FALSE",539
"319","EbroNfe1_000337-T1",480,"og_1735","EbroNfe1","FALSE",792
"320","EbroNfe1_000338-T1",38671,"og_7582","EbroNfe1","FALSE",100
"321","EbroNfe1_000339-T1",25373,"og_9918","EbroNfe1","FALSE",442
"322","EbroNfe1_000340-T1",5031,"og_0921","EbroNfe1","FALSE",2176
"323","EbroNfe1_000341-T1",40364,"og_7721","EbroNfe1","FALSE",469
"324","EbroNfe1_000342-T1",38324,"og_3555","EbroNfe1","FALSE",890
"325","EbroNfe1_000343-T1",42875,"og_3094","EbroNfe1","FALSE",1253
"326","EbroNfe1_000344-T1",28358,"og_29434","EbroNfe1","TRUE",919
"327","EbroNfe1_000345-T1",41544,"og_9406","EbroNfe1","FALSE",149
"328","EbroNfe1_000346-T1",43197,"og_9213","EbroNfe1","FALSE",486
"329","EbroNfe1_000347-T1",41137,"og_2991","EbroNfe1","FALSE",764
"330","EbroNfe1_000348-T1",1492,"og_5282","EbroNfe1","FALSE",138
"331","EbroNfe1_000349-T1",45269,"og_9503","EbroNfe1","FALSE",1187
"332","EbroNfe1_000350-T1",800,"og_11489","EbroNfe1","FALSE",837
"333","EbroNfe1_000351-T1",231,"og_1314","EbroNfe1","FALSE",650
"334","EbroNfe1_000352-T1",2196,"og_29435","EbroNfe1","TRUE",788
"335","EbroNfe1_000353-T1",34249,"og_0417","EbroNfe1","FALSE",249
"336","EbroNfe1_000354-T1",39296,"og_10057","EbroNfe1","FALSE",440
"337","EbroNfe1_000355-T1",2922,"og_29436","EbroNfe1","TRUE",221
"338","EbroNfe1_000356-T1",28389,"og_9983","EbroNfe1","FALSE",2213
"339","EbroNfe1_000357-T1",3980,"og_0402","EbroNfe1","FALSE",291
"340","EbroNfe1_000358-T1",42707,"og_8308","EbroNfe1","FALSE",923
"341","EbroNfe1_000359-T1",35590,"og_8182","EbroNfe1","FALSE",897
