"","Name","DistanceAT","ortholog","Strain","Length","EffectiveLength","TPM","NumReads","TF"
"60","Eam702_000060-T1",558,"og_8114","Eam702",1485,1236,40.096428,609,"FALSE"
"61","Eam702_000061-T1",2328,"og_5511","Eam702",663,414,1.572521,8,"FALSE"
"62","Eam702_000062-T1",3274,"og_1801","Eam702",1401,1152,44.7155,633,"FALSE"
"63","Eam702_000063-T1",2783,"og_11374","Eam702",2232,1983,11.572662,282,"FALSE"
"64","Eam702_000064-T1",280,"og_9750","Eam702",1353,1104,7.223769,98,"FALSE"
"65","Eam702_000065-T1",0,"og_10660","Eam702",705,456,82.091813,460,"FALSE"
"66","Eam702_000066-T1",5852,"og_11589","Eam702",1080,831,0.979278,10,"FALSE"
"67","Eam702_000067-T1",5753,"og_2897","Eam702",1578,1329,25.289016,413,"FALSE"
"68","Eam702_000068-T1",7403,"og_3735","Eam702",1131,882,2.029836,22,"FALSE"
"69","Eam702_000069-T1",8952,"og_3085","Eam702",3690,3441,22.727181,961,"FALSE"
"70","Eam702_000070-T1",11724,"og_0467","Eam702",3684,3435,3.17457,134,"FALSE"
"71","Eam702_000071-T1",14147,"og_10764","Eam702",819,570,8.566102,60,"FALSE"
"72","Eam702_000072-T1",15517,"og_4197","Eam702",591,342,238.899072,1004,"FALSE"
"73","Eam702_000073-T1",16810,"og_11217","Eam702",1365,1116,15.823494,217,"FALSE"
"74","Eam702_000074-T1",18516,"og_0248","Eam702",3024,2775,8.005833,273,"FALSE"
"75","Eam702_000075-T1",18545,"og_8953","Eam702",1221,972,9.795497,117,"FALSE"
"76","Eam702_000076-T1",20629,"og_2388","Eam702",930,681,4.899408,41,"FALSE"
"77","Eam702_000077-T1",22683,"og_4126","Eam702",2700,2451,44.324599,1335,"FALSE"
"78","Eam702_000078-T1",22024,"og_11075","Eam702",3543,3294,6.522096,264,"FALSE"
"79","Eam702_000079-T1",23948,"og_4835","Eam702",339,90.016,13.560518,15,"FALSE"
"80","Eam702_000080-T1",19293,"og_6973","Eam702",3867,3618,0.112463,5,"FALSE"
"81","Eam702_000081-T1",29596,"og_10122","Eam702",5991,5742,9.367962,661,"FALSE"
"82","Eam702_000082-T1",15693,"og_0603","Eam702",1092,843,0,0,"FALSE"
"83","Eam702_000083-T1",13747,"og_7287","Eam702",1053,804,7.591229,75,"FALSE"
"84","Eam702_000084-T1",36858,"og_2169","Eam702",1518,1269,25.77931,402,"FALSE"
"85","Eam702_000085-T1",10548,"og_2758","Eam702",1902,1653,9.747634,198,"FALSE"
"86","Eam702_000086-T1",39559,"og_30775","Eam702",339,90.016,35.257346,39,"TRUE"
"87","Eam702_000087-T1",9190,"og_0822","Eam702",792,543,22.480103,150,"FALSE"
"88","Eam702_000088-T1",40503,"og_7900","Eam702",1626,1377,76.531934,1295,"FALSE"
"89","Eam702_000089-T1",6102,"og_9261","Eam702",2580,2331,44.057915,1262,"FALSE"
"90","Eam702_000090-T1",43693,"og_4001","Eam702",342,93.011,1048.168548,1198,"FALSE"
"91","Eam702_000091-T1",4163,"og_30776","Eam702",531,282,8.368657,29,"TRUE"
"92","Eam702_000092-T1",45786,"og_5035","Eam702",306,57.785,0,0,"FALSE"
"93","Eam702_000093-T1",918,"og_9490","Eam702",2691,2442,18.261723,548,"FALSE"
"94","Eam702_000094-T1",49792,"og_2621","Eam702",513,264,189.881932,616,"FALSE"
"95","Eam702_000095-T1",60113,"og_7721","Eam702",1410,1161,72.265881,1031,"FALSE"
"96","Eam702_000096-T1",62616,"og_3094","Eam702",3786,3537,27.954265,1215,"FALSE"
"97","Eam702_000097-T1",67272,"og_2991","Eam702",2268,2019,25.916808,643,"FALSE"
"98","Eam702_000098-T1",70103,"og_10057","Eam702",1332,1083,4.733899,63,"FALSE"
"99","Eam702_000099-T1",72378,"og_8182","Eam702",2694,2445,18.2726,549,"FALSE"
"100","Eam702_000100-T1",81010,"og_9357","Eam702",552,303,692.384187,2578,"FALSE"
"101","Eam702_000101-T1",82975,"og_11080","Eam702",858,609,18.173077,136,"FALSE"
"102","Eam702_000102-T1",84681,"og_2156","Eam702",525,276,27.420838,93,"FALSE"
"103","Eam702_000103-T1",86642,"og_2580","Eam702",513,264,40.997235,133,"FALSE"
"104","Eam702_000104-T1",0,"og_30777","Eam702",357,108.001,0,0,"TRUE"
"105","Eam702_000105-T1",90008,"og_6758","Eam702",1347,1098,15.786437,213,"FALSE"
"106","Eam702_000106-T1",92987,"og_7865","Eam702",1092,843,13.611262,141,"FALSE"
"107","Eam702_000107-T1",94383,"og_8562","Eam702",735,486,21.600326,129,"FALSE"
"108","Eam702_000108-T1",95994,"og_1040","Eam702",324,75.118,274.084491,253,"FALSE"
"109","Eam702_000109-T1",97202,"og_3204","Eam702",2223,1974,3.916366,95,"FALSE"
"110","Eam702_000110-T1",100073,"og_9405","Eam702",609,360,6.329398,28,"FALSE"
"111","Eam702_000111-T1",1289,"og_0337","Eam702",483,234,8.694228,25,"FALSE"
"112","Eam702_000112-T1",101107,"og_11575","Eam702",999,750,18.120162,167,"FALSE"
"113","Eam702_000113-T1",2067,"og_2818","Eam702",885,636,80.994113,633,"FALSE"
"114","Eam702_000114-T1",102806,"og_4946","Eam702",414,165,0.4932,1,"FALSE"
"115","Eam702_000115-T1",3974,"og_4596","Eam702",813,564,12.552985,87,"FALSE"
"116","Eam702_000116-T1",104477,"og_9613","Eam702",1344,1095,193.895093,2609,"FALSE"
"117","Eam702_000117-T1",7257,"og_5215","Eam702",525,276,0,0,"FALSE"
"118","Eam702_000118-T1",107655,"og_2541","Eam702",873,624,17.344984,133,"FALSE"
"119","Eam702_000119-T1",109219,"og_10152","Eam702",459,210,32.551188,84,"FALSE"
"120","Eam702_000120-T1",891,"og_0697","Eam702",1536,1287,21.055839,333,"FALSE"
"121","Eam702_000121-T1",10466,"og_1226","Eam702",1263,1014,3.210176,40,"FALSE"
"122","Eam702_000122-T1",110527,"og_2603","Eam702",642,393,41.413726,200,"FALSE"
"123","Eam702_000123-T1",13323,"og_1777","Eam702",291,44.643,10.937147,6,"FALSE"
"124","Eam702_000124-T1",0,"og_10149","Eam702",2835,2586,3.618897,115,"FALSE"
"125","Eam702_000125-T1",15539,"og_3803","Eam702",4677,4428,17.220226,937,"FALSE"
"126","Eam702_000126-T1",894,"og_3935","Eam702",813,564,3.030031,21,"FALSE"
"127","Eam702_000127-T1",119233,"og_30778","Eam702",792,543,5.844827,39,"TRUE"
"128","Eam702_000128-T1",2557,"og_0893","Eam702",597,348,0.935379,4,"FALSE"
"129","Eam702_000129-T1",120226,"og_2962","Eam702",2637,2388,4.225657,124,"FALSE"
"130","Eam702_000130-T1",2013,"og_1312","Eam702",1311,1062,0.076627,1,"FALSE"
"131","Eam702_000131-T1",22101,"og_3686","Eam702",1878,1629,67.29044,1347,"FALSE"
"132","Eam702_000132-T1",0,"og_3165","Eam702",777,528,104.959088,681,"FALSE"
"133","Eam702_000133-T1",193,"og_5180","Eam702",672,423,13.659187,71,"FALSE"
"134","Eam702_000134-T1",124253,"og_3406","Eam702",1896,1647,20.159206,408,"FALSE"
"135","Eam702_000135-T1",25340,"og_30779","Eam702",3636,3387,1.946152,81,"TRUE"
"136","Eam702_000136-T1",127476,"og_2497","Eam702",1728,1479,171.944665,3125,"FALSE"
"137","Eam702_000137-T1",133482,"og_9103","Eam702",423,174,234.312432,501,"FALSE"
"138","Eam702_000138-T1",29197,"og_30780","Eam702",1458,1209,4.779021,71,"TRUE"
"139","Eam702_000139-T1",135097,"og_8623","Eam702",1242,993,15.0791,184,"FALSE"
"140","Eam702_000140-T1",137962,"og_11052","Eam702",3405,3156,13.53721,525,"FALSE"
"141","Eam702_000141-T1",23281,"og_2073","Eam702",990,741,58.535032,533,"FALSE"
"142","Eam702_000142-T1",1321,"og_2005","Eam702",2016,1767,12.849153,279,"FALSE"
"143","Eam702_000143-T1",21462,"og_3752","Eam702",1200,951,55.535545,649,"FALSE"
"144","Eam702_000144-T1",142488,"og_2047","Eam702",1074,825,9.765357,99,"FALSE"
"145","Eam702_000145-T1",15864,"og_8839","Eam702",5052,4803,36.055033,2128,"FALSE"
"146","Eam702_000146-T1",143844,"og_30781","Eam702",513,264,24.968241,81,"TRUE"
"147","Eam702_000147-T1",144934,"og_10884","Eam702",1575,1326,7.671377,125,"FALSE"
"148","Eam702_000148-T1",2115,"og_9896","Eam702",1986,1737,0.515347,11,"FALSE"
"149","Eam702_000149-T1",7386,"og_9336","Eam702",1977,1728,2572.542269,54626,"FALSE"
"150","Eam702_000150-T1",147225,"og_9461","Eam702",1719,1470,10.352164,187,"FALSE"
"151","Eam702_000151-T1",5009,"og_6579","Eam702",1224,975,3.171654,38,"FALSE"
"152","Eam702_000152-T1",9721,"og_1773","Eam702",690,441,47.977942,260,"FALSE"
"153","Eam702_000153-T1",4659,"og_30782","Eam702",1467,1218,0.534502,8,"TRUE"
"154","Eam702_000154-T1",150014,"og_9390","Eam702",1278,1029,53.698389,679,"FALSE"
"155","Eam702_000155-T1",0,"og_2004","Eam702",1368,1119,34.616545,476,"FALSE"
"156","Eam702_000156-T1",11237,"og_3365","Eam702",2277,2028,15.569355,388,"FALSE"
"157","Eam702_000157-T1",11952,"og_9220","Eam702",1431,1182,274.151507,3982,"FALSE"
"158","Eam702_000158-T1",152164,"og_10356","Eam702",1014,765,12.658796,119,"FALSE"
"159","Eam702_000159-T1",1792,"og_0240","Eam702",1626,1377,3.309489,56,"FALSE"
"160","Eam702_000160-T1",9910,"og_8464","Eam702",1407,1158,21.714847,309,"FALSE"
"161","Eam702_000161-T1",14133,"og_1827","Eam702",2109,1860,16.144339,369,"FALSE"
"162","Eam702_000162-T1",922,"og_8397","Eam702",3210,2961,35.233556,1282,"FALSE"
"163","Eam702_000163-T1",153906,"og_30783","Eam702",774,525,23.56086,152,"TRUE"
"164","Eam702_000164-T1",154866,"og_7989","Eam702",2049,1800,19.169033,424,"FALSE"
"165","Eam702_000165-T1",3586,"og_8731","Eam702",1341,1092,8.868112,119,"FALSE"
"166","Eam702_000166-T1",97,"og_10556","Eam702",1032,783,0,0,"FALSE"
"167","Eam702_000167-T1",5444,"og_8371","Eam702",2265,2016,23.291215,577,"FALSE"
"168","Eam702_000168-T1",17463,"og_4031","Eam702",1638,1389,2.695023,46,"FALSE"
"169","Eam702_000169-T1",5346,"og_0060","Eam702",909,660,0,0,"FALSE"
"170","Eam702_000170-T1",767,"og_3901","Eam702",2340,2091,9.457124,243,"FALSE"
"171","Eam702_000171-T1",158696,"og_3822","Eam702",1920,1671,2.142807,44,"FALSE"
"172","Eam702_000172-T1",19941,"og_10466","Eam702",1170,921,21.647777,245,"FALSE"
"173","Eam702_000173-T1",8219,"og_30784","Eam702",459,210,13.562995,35,"TRUE"
"174","Eam702_000174-T1",0,"og_10833","Eam702",669,420,10.850396,56,"FALSE"
"175","Eam702_000175-T1",3563,"og_1176","Eam702",552,303,110.921128,413,"FALSE"
"176","Eam702_000176-T1",21489,"og_9536","Eam702",789,540,72.788074,483,"FALSE"
"177","Eam702_000177-T1",1709,"og_9689","Eam702",1398,1149,11.119531,157,"FALSE"
"178","Eam702_000178-T1",10575,"og_2673","Eam702",723,474,11.674477,68,"FALSE"
"179","Eam702_000179-T1",162661,"og_7795","Eam702",363,114,264.12071,370,"FALSE"
"180","Eam702_000180-T1",24145,"og_7531","Eam702",945,696,19.175269,164,"FALSE"
"181","Eam702_000181-T1",0,"og_9880","Eam702",1446,1197,29.913373,440,"FALSE"
"182","Eam702_000182-T1",12226,"og_1007","Eam702",780,531,2.452067,16,"FALSE"
"183","Eam702_000183-T1",164635,"og_3556","Eam702",1080,831,23.600591,241,"FALSE"
"184","Eam702_000184-T1",26731,"og_9128","Eam702",2949,2700,20.284213,673,"FALSE"
"185","Eam702_000185-T1",167320,"og_7814","Eam702",1035,786,47.108113,455,"FALSE"
"186","Eam702_000186-T1",30829,"og_8985","Eam702",1068,819,27.622804,278,"FALSE"
"187","Eam702_000187-T1",170148,"og_7727","Eam702",810,561,39.891162,275,"FALSE"
"188","Eam702_000188-T1",32190,"og_7880","Eam702",603,354,73.791889,321,"FALSE"
"189","Eam702_000189-T1",171697,"og_2547","Eam702",2292,2043,20.234953,508,"FALSE"
"190","Eam702_000190-T1",16357,"og_2526","Eam702",2304,2055,1.702799,43,"FALSE"
"191","Eam702_000191-T1",1072,"og_2395","Eam702",2187,1938,22.549004,537,"FALSE"
"192","Eam702_000192-T1",177675,"og_1533","Eam702",774,525,113.464143,732,"FALSE"
"193","Eam702_000193-T1",15001,"og_4157","Eam702",570,321,45.632507,180,"FALSE"
"194","Eam702_000194-T1",13309,"og_10185","Eam702",1542,1293,0.818185,13,"FALSE"
"195","Eam702_000195-T1",178875,"og_7750","Eam702",438,189,314.7476,731,"FALSE"
"196","Eam702_000196-T1",40373,"og_8351","Eam702",1917,1668,14.733901,302,"FALSE"
"197","Eam702_000197-T1",179827,"og_4403","Eam702",459,210,8.912825,23,"FALSE"
"198","Eam702_000198-T1",3259,"og_1380","Eam702",1644,1395,13.767169,236,"FALSE"
"199","Eam702_000199-T1",11370,"og_0076","Eam702",765,516,1.261674,8,"FALSE"
"200","Eam702_000200-T1",181399,"og_1137","Eam702",4872,4623,13.149328,747,"FALSE"
"201","Eam702_000201-T1",43042,"og_4183","Eam702",2607,2358,17.566322,509,"FALSE"
"202","Eam702_000202-T1",0,"og_9160","Eam702",2220,1971,93.55783,2266,"FALSE"
"203","Eam702_000203-T1",9487,"og_10000","Eam702",858,609,1368.325823,10240,"FALSE"
"204","Eam702_000204-T1",7322,"og_9971","Eam702",972,723,0.112556,1,"FALSE"
"205","Eam702_000205-T1",46468,"og_9598","Eam702",2592,2343,25.840892,744,"FALSE"
"206","Eam702_000206-T1",6367,"og_7803","Eam702",279,35.644,232.874688,102,"FALSE"
"207","Eam702_000207-T1",5185,"og_7813","Eam702",519,270,364.995268,1211,"FALSE"
"208","Eam702_000208-T1",188555,"og_3415","Eam702",1185,936,10.172246,117,"FALSE"
"209","Eam702_000209-T1",50154,"og_9580","Eam702",1830,1581,25.787706,501,"FALSE"
"210","Eam702_000210-T1",2036,"og_2147","Eam702",948,699,3.841878,33,"FALSE"
"211","Eam702_000211-T1",1293,"og_7975","Eam702",684,435,165.000852,882,"FALSE"
"212","Eam702_000212-T1",0,"og_10590","Eam702",2343,2094,3.108996,80,"FALSE"
"213","Eam702_000213-T1",3911,"og_5262","Eam702",408,159,0,0,"FALSE"
"214","Eam702_000214-T1",193753,"og_10196","Eam702",1275,1026,6.900471,87,"FALSE"
"215","Eam702_000215-T1",4953,"og_11600","Eam702",1023,774,279.565925,2659,"FALSE"
"216","Eam702_000216-T1",58328,"og_3692","Eam702",1116,867,20.555681,219,"FALSE"
"217","Eam702_000217-T1",8805,"og_5005","Eam702",744,495,15.617994,95,"FALSE"
"218","Eam702_000218-T1",199183,"og_10125","Eam702",780,531,27.12599,177,"FALSE"
"219","Eam702_000219-T1",53934,"og_9162","Eam702",3141,2892,21.385635,760,"FALSE"
"220","Eam702_000220-T1",200691,"og_10121","Eam702",678,429,84.602739,446,"FALSE"
"221","Eam702_000221-T1",11631,"og_8714","Eam702",1758,1509,6.09391,113,"FALSE"
"222","Eam702_000222-T1",891,"og_2995","Eam702",2067,1818,22.202131,496,"FALSE"
"223","Eam702_000223-T1",201995,"og_10118","Eam702",2331,2082,24.93715,638,"FALSE"
"224","Eam702_000224-T1",3347,"og_2984","Eam702",2700,2451,12.151912,366,"FALSE"
"225","Eam702_000225-T1",15041,"og_3710","Eam702",585,336,8.234676,34,"FALSE"
"226","Eam702_000226-T1",52338,"og_2235","Eam702",693,444,351.721456,1919,"FALSE"
"227","Eam702_000227-T1",205353,"og_10114","Eam702",1542,1293,21.398693,340,"FALSE"
"228","Eam702_000228-T1",48115,"og_1384","Eam702",2604,2355,36.041284,1043,"FALSE"
"229","Eam702_000229-T1",17736,"og_3793","Eam702",1374,1125,9.186669,127,"FALSE"
"230","Eam702_000230-T1",207540,"og_7946","Eam702",1104,855,11.040754,116,"FALSE"
"231","Eam702_000231-T1",7104,"og_9763","Eam702",996,747,12.854887,118,"FALSE"
"232","Eam702_000232-T1",19578,"og_11237","Eam702",957,708,20.804255,181,"FALSE"
"233","Eam702_000233-T1",209553,"og_1120","Eam702",5631,5382,16.390509,1084,"FALSE"
"234","Eam702_000234-T1",8901,"og_1572","Eam702",1812,1563,15.567507,299,"FALSE"
"235","Eam702_000235-T1",20852,"og_7988","Eam702",1341,1092,4.620361,62,"FALSE"
"236","Eam702_000236-T1",46635,"og_1425","Eam702",690,441,159.065331,862,"FALSE"
"237","Eam702_000237-T1",22918,"og_2231","Eam702",420,171,208.917714,439,"FALSE"
"238","Eam702_000238-T1",11397,"og_11330","Eam702",267,28.299,736.153163,256,"FALSE"
"239","Eam702_000239-T1",12253,"og_9395","Eam702",1254,1005,106.398661,1314,"FALSE"
"240","Eam702_000240-T1",24016,"og_7040","Eam702",861,612,73.133798,550,"FALSE"
"241","Eam702_000241-T1",42878,"og_9068","Eam702",318,69.234,209.22078,178,"FALSE"
"242","Eam702_000242-T1",25199,"og_1050","Eam702",2211,1962,41.518526,1001,"FALSE"
"243","Eam702_000243-T1",14552,"og_9447","Eam702",774,525,64.017337,413,"FALSE"
"244","Eam702_000244-T1",40918,"og_8994","Eam702",807,558,2.479257,17,"FALSE"
"245","Eam702_000245-T1",39867,"og_2462","Eam702",279,35.644,168.948303,74,"FALSE"
"246","Eam702_000246-T1",38363,"og_3559","Eam702",741,492,11.081959,67,"FALSE"
"247","Eam702_000247-T1",218524,"og_0453","Eam702",4962,4713,21.376178,1238,"FALSE"
"248","Eam702_000248-T1",29359,"og_8362","Eam702",441,192,28.397521,67,"FALSE"
"249","Eam702_000249-T1",36368,"og_8956","Eam702",1272,1023,28.876054,363,"FALSE"
"250","Eam702_000250-T1",29698,"og_9091","Eam702",984,735,52.148333,471,"FALSE"
"251","Eam702_000251-T1",28556,"og_8698","Eam702",498,249,106.869865,327,"FALSE"
"252","Eam702_000252-T1",30460,"og_1123","Eam702",5469,5220,5.425198,348,"FALSE"
"253","Eam702_000253-T1",21586,"og_30785","Eam702",873,624,22.691934,174,"TRUE"
"254","Eam702_000254-T1",25770,"og_2181","Eam702",1305,1056,20.036243,260,"FALSE"
"255","Eam702_000255-T1",24519,"og_3435","Eam702",1740,1491,25.925242,475,"FALSE"
"256","Eam702_000256-T1",226277,"og_10378","Eam702",1305,1056,9.709872,126,"FALSE"
"257","Eam702_000257-T1",22062,"og_0837","Eam702",642,393,15.11601,73,"FALSE"
"258","Eam702_000258-T1",28455,"og_9272","Eam702",933,684,46.756641,393,"FALSE"
"259","Eam702_000259-T1",228264,"og_0262","Eam702",2799,2550,16.243681,509,"FALSE"
"260","Eam702_000260-T1",27663,"og_30786","Eam702",165,6.972,0,0,"TRUE"
"261","Eam702_000261-T1",28593,"og_6293","Eam702",771,522,1.558965,10,"FALSE"
"262","Eam702_000262-T1",25224,"og_11518","Eam702",2295,2046,24.978185,628,"FALSE"
"263","Eam702_000263-T1",19048,"og_0331","Eam702",1164,915,1.689816,19,"FALSE"
"264","Eam702_000264-T1",29476,"og_1912","Eam702",1794,1545,1.896186,36,"FALSE"
"265","Eam702_000265-T1",231789,"og_9686","Eam702",2382,2133,20.869081,547,"FALSE"
"266","Eam702_000266-T1",31915,"og_0101","Eam702",786,537,1.060793,7,"FALSE"
"267","Eam702_000267-T1",23929,"og_1555","Eam702",360,111.001,803.511683,1096,"FALSE"
"268","Eam702_000268-T1",14615,"og_10127","Eam702",1215,966,10.951487,130,"FALSE"
"269","Eam702_000269-T1",34062,"og_3267","Eam702",1335,1086,29.074266,388,"FALSE"
"270","Eam702_000270-T1",236279,"og_11023","Eam702",729,480,33.568413,198,"FALSE"
"271","Eam702_000271-T1",13115,"og_10827","Eam702",795,546,34.727229,233,"FALSE"
"272","Eam702_000272-T1",19548,"og_5028","Eam702",1119,870,2050.25719,21919,"FALSE"
"273","Eam702_000273-T1",237221,"og_3899","Eam702",783,534,77.872927,511,"FALSE"
"274","Eam702_000274-T1",36715,"og_4767","Eam702",1089,840,12.109817,125,"FALSE"
"275","Eam702_000275-T1",11154,"og_4202","Eam702",1164,915,4.002195,45,"FALSE"
"276","Eam702_000276-T1",238692,"og_2719","Eam702",2442,2193,17.106815,461,"FALSE"
"277","Eam702_000277-T1",38298,"og_3100","Eam702",7596,7347,5.07297,458,"FALSE"
"278","Eam702_000278-T1",17831,"og_0451","Eam702",444,195,0,0,"FALSE"
"279","Eam702_000279-T1",9673,"og_9572","Eam702",861,612,299.316689,2251,"FALSE"
"280","Eam702_000280-T1",14239,"og_11568","Eam702",1572,1323,36.044967,586,"FALSE"
"281","Eam702_000281-T1",5627,"og_11761","Eam702",1452,1203,16.370298,242,"FALSE"
"282","Eam702_000282-T1",242533,"og_3466","Eam702",1644,1395,15.400562,264,"FALSE"
"283","Eam702_000283-T1",1540,"og_30787","Eam702",588,339,7.441643,31,"TRUE"
"284","Eam702_000284-T1",2258,"og_30788","Eam702",759,510,9.414314,59,"TRUE"
"285","Eam702_000285-T1",244931,"og_3375","Eam702",1278,1029,17.635848,223,"FALSE"
"286","Eam702_000286-T1",4325,"og_9736","Eam702",2160,1911,12.775192,300,"FALSE"
"287","Eam702_000287-T1",10230,"og_2572","Eam702",729,480,256.510146,1513,"FALSE"
"288","Eam702_000288-T1",246911,"og_0578","Eam702",3012,2763,5.036422,171,"FALSE"
"289","Eam702_000289-T1",1784,"og_30789","Eam702",879,630,0,0,"TRUE"
"290","Eam702_000290-T1",8563,"og_30790","Eam702",153,6.322,0,0,"TRUE"
"291","Eam702_000291-T1",48135,"og_11208","Eam702",1644,1395,5.950217,102,"FALSE"
"292","Eam702_000292-T1",7786,"og_9740","Eam702",1593,1344,13.320799,220,"FALSE"
"293","Eam702_000293-T1",0,"og_3949","Eam702",1317,1068,0,0,"FALSE"
"294","Eam702_000294-T1",6019,"og_9173","Eam702",1446,1197,65.67345,966,"FALSE"
"295","Eam702_000295-T1",251220,"og_3034","Eam702",4800,4551,18.04227,1009,"FALSE"
"296","Eam702_000296-T1",50337,"og_5957","Eam702",171,7.349,121.800366,11,"FALSE"
